,town,year,tenant_rental_assistance,total_assisted_units
63,Hartford,2016,8439,19839
92,New Haven,2016,5709,16432
14,Bridgeport,2016,4102,11300
150,Waterbury,2016,2969,10198
134,Stamford,2016,1753,8103
88,New Britain,2016,1478,5689
82,Middletown,2016,1035,4524
102,Norwalk,2016,1277,4501
79,Meriden,2016,1103,4077
58,Groton,2016,103,4026
16,Bristol,2016,844,3691
76,Manchester,2016,890,3600
103,Norwich,2016,784,3493
41,East Hartford,2016,859,3339
33,Danbury,2016,926,3278
154,West Haven,2016,1476,2911
162,Windham,2016,608,2771
93,New London,2016,449,2717
145,Vernon,2016,399,2180
48,Enfield,2016,217,2104
61,Hamden,2016,635,2006
153,West Hartford,2016,786,1928
142,Torrington,2016,390,1810
137,Stratford,2016,421,1259
56,Greenwich,2016,338,1259
83,Milford,2016,220,1212
1,Ansonia,2016,658,1118
95,Newington,2016,108,1058
87,Naugatuck,2016,270,1050
10,Bloomfield,2016,93,976
